station,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK
地下鉄赤塚,6.22,7.30,7.50,12.41,8.46,9.06,13.18,,10.99,,,
平和台,6.38,7.18,8.96,11.20,,9.46,13.58,,11.84,,,
氷川台,6.10,7.18,8.94,11.44,8.43,9.15,13.66,,,,,
小竹向原,6.64,7.68,8.59,12.71,7.66,10.02,14.05,,,,,
千川,6.70,7.37,9.02,12.08,7.73,10.61,14.04,,,,,
要町,6.84,8.52,10.16,13.32,8.65,11.26,19.61,,,,,
東池袋,7.29,8.94,12.03,15.06,11.82,11.94,21.69,,,,,
護国寺,7.60,8.03,10.07,15.58,13.98,11.78,18.51,,,40.55,,
江戸川橋,8.70,9.32,11.91,15.88,11.75,12.82,24.00,,,36.42,,
麹町,13.03,12.91,17.43,23.50,,,39.28,,,,,
永田町,,12.67,14.92,28.79,,,82.93,,,,,
桜田門,,,,,,,,,,,,
銀座一丁目,16.00,11.10,,18.88,15.50,,,,,,,
新富町,10.31,10.45,13.95,18.04,,16.31,26.22,,,35.30,,
月島,10.55,10.53,12.51,16.88,,16.04,24.43,,,29.53,,
豊洲,12.30,9.93,15.12,17.23,,,23.73,,,27.53,,
辰巳,14.46,10.88,13.60,16.59,,,17.38,,,23.94,,
新大塚,8.37,8.56,10.44,14.61,11.20,11.62,20.20,,,22.71,,
茗荷谷,8.51,8.58,10.68,17.08,,16.36,25.26,,,31.86,,
後楽園,10.04,9.17,12.69,16.83,,20.05,28.76,,23.23,42.68,,
本郷三丁目,9.94,10.06,12.78,18.44,,11.98,24.96,,,,,
淡路町,10.22,10.29,14.53,17.96,,,26.61,,21.00,,,
銀座,13.72,12.03,14.00,21.05,15.30,,33.42,,,,,
霞ケ関,,9.95,,,,,,,,,,
国会議事堂前,13.20,,,21.90,,,,,,,,
赤坂見附,14.53,12.28,15.07,22.80,13.48,,44.11,,,,,
四谷三丁目,9.84,10.36,12.97,18.28,,14.77,25.15,,,42.75,,
新宿御苑前,11.00,10.88,14.23,19.87,,,28.01,,,37.06,,
新宿三丁目,10.29,11.23,14.38,24.26,12.75,,28.25,,,42.54,,
西新宿,11.33,10.39,13.29,24.29,,,31.27,,,40.77,,
中野坂上,7.63,9.62,11.93,14.37,10.43,12.44,21.08,,,25.97,,
新中野,7.56,8.41,11.24,13.81,10.49,11.33,16.69,,,,,
東高円寺,7.49,8.33,9.87,15.95,9.45,12.76,19.52,,,22.63,,
新高円寺,6.94,8.35,10.15,14.90,9.83,12.23,19.70,,,,,
南阿佐ケ谷,6.41,8.02,10.27,13.74,9.49,11.75,17.64,,,,,
中野新橋,7.59,8.56,10.86,17.00,10.06,12.74,19.34,,,,,
中野富士見町,7.36,8.23,11.03,16.23,10.18,10.57,18.74,,,25.30,,
方南町,6.46,8.45,11.54,14.48,10.82,11.82,17.47,,,,,
三ノ輪,7.42,8.30,9.76,13.39,9.96,10.38,15.87,,,19.77,,
入谷,7.96,9.31,10.46,14.73,10.38,10.15,18.43,,,22.53,,
仲御徒町,9.92,10.45,13.99,16.09,,18.64,24.39,,,,,
小伝馬町,11.56,9.66,14.57,17.60,,,23.87,,,34.03,,
人形町,10.51,9.72,14.04,18.68,14.28,17.25,23.98,,,32.02,,
築地,11.06,10.23,13.43,17.81,14.13,17.35,27.28,,,32.66,,
東銀座,12.05,11.47,14.47,19.60,,,28.26,,,,,
日比谷,,,,,,,,,,,,
虎ノ門ヒルズ,13.15,11.52,,,,,28.00,,,,,
神谷町,13.57,12.67,16.18,31.80,,,49.62,,,91.37,,
六本木,13.36,12.69,15.56,25.00,,16.59,40.10,,,72.80,,
広尾,12.25,11.50,14.12,22.62,,,37.65,,,41.85,,
中目黒,10.96,12.21,13.82,22.39,,16.40,31.99,,,32.50,,
北綾瀬,5.34,7.02,7.28,8.70,7.39,8.62,10.27,,9.28,,,
町屋,6.36,7.24,8.25,11.97,9.16,10.86,13.25,,,,,
千駄木,7.46,8.24,9.18,15.60,8.79,11.87,21.92,,,25.30,,
根津,7.94,9.13,11.26,15.38,,11.72,21.11,,,,,
湯島,10.40,9.93,11.78,17.44,,,26.15,,,,,
新御茶ノ水,9.04,10.72,14.04,18.60,,,,,,,,
二重橋前,,,,,,,,,,,,
赤坂,13.79,12.77,16.31,23.06,14.01,21.98,32.15,,,90.00,,
乃木坂,13.04,12.71,13.26,24.54,,,37.96,,,46.56,,
表参道,16.76,13.50,17.59,28.09,,,47.43,,,65.61,,
明治神宮前,15.77,14.03,18.45,26.81,,,49.07,,,,,
代々木公園,11.13,9.26,13.69,20.57,,,28.76,,,49.29,,29.80
代々木上原,9.41,9.45,13.56,18.88,,15.20,25.28,,,41.67,,
赤羽岩淵,7.27,8.18,9.68,13.29,8.01,10.69,13.77,,14.64,15.27,,
志茂,6.07,7.09,8.68,10.94,8.30,9.98,14.64,,18.30,,,
王子神谷,6.41,7.92,8.91,13.46,7.71,9.61,17.28,,,,,
西ケ原,6.24,7.45,9.68,12.50,6.62,11.18,14.24,,,,,
本駒込,7.99,8.60,10.46,15.56,9.99,12.37,24.33,15.15,,,,
東大前,8.54,8.80,12.78,15.27,,17.16,20.75,,,,,
溜池山王,16.06,11.72,16.48,23.99,,,36.42,,,,,
六本木一丁目,14.87,14.68,16.61,28.23,,,43.68,,,95.20,,
麻布十番,13.52,12.82,14.59,25.37,12.64,16.15,40.45,,,67.94,,
白金高輪,11.50,10.55,14.32,19.88,,17.60,28.88,,,40.95,,
白金台,12.00,12.12,14.16,20.63,16.35,,35.04,,,33.98,,
浅草,8.19,9.42,10.57,15.27,10.41,10.94,20.20,,13.63,21.02,,
田原町,9.38,9.79,12.91,16.85,10.95,18.76,22.00,,,,,
稲荷町,9.03,9.73,11.92,15.91,,,21.66,,,,,
上野広小路,9.87,9.37,,17.51,,,27.36,,,,,
末広町,10.96,10.36,13.68,16.13,13.60,,24.01,,,,,
三越前,10.70,11.04,13.87,17.77,,,24.03,,,32.80,,
京橋,9.59,10.12,13.62,17.69,,,,,,,,
虎ノ門,12.61,11.17,15.01,,,,43.97,,,,,
青山一丁目,12.11,13.68,12.24,27.68,,,53.02,,,46.33,,
外苑前,15.42,15.07,19.07,26.30,,,41.71,,,,,
半蔵門,12.22,12.38,17.07,23.94,,20.50,35.17,,,78.00,,
神保町,10.70,10.80,14.13,22.07,,,27.37,,,,,
水天宮前,10.45,9.53,11.78,18.61,11.97,13.92,23.94,,,30.47,,
清澄白河,8.42,9.31,11.56,13.40,10.52,11.36,19.13,,,,,
住吉,8.26,8.96,11.27,15.09,9.42,11.14,17.38,,,18.81,,
押上,7.90,9.23,11.13,15.06,10.24,14.01,17.92,,,18.13,,
雑司が谷,7.19,8.51,11.53,14.22,10.58,11.86,21.68,,,24.83,,
西早稲田,8.00,9.59,11.51,16.27,,12.56,20.43,,,19.96,,
東新宿,9.11,9.90,11.73,18.58,11.67,,19.44,,,25.83,,
北参道,11.56,11.03,12.69,20.88,,,36.42,,,41.40,,
代官山,12.28,12.78,13.55,25.30,16.88,16.11,36.38,,,,,
祐天寺,8.42,10.04,10.83,15.65,11.35,,25.14,,,30.17,,
学芸大学,9.40,9.37,11.61,15.16,,13.58,21.07,,,28.00,,
都立大学,9.84,9.21,12.71,15.56,,17.57,20.55,,,,,
自由が丘,9.38,9.56,12.43,17.58,10.08,14.05,24.62,,,,,
田園調布,8.15,8.25,9.97,14.24,,,20.11,,,,,
多摩川,9.12,7.78,10.31,12.89,,11.60,,,,28.63,,
新丸子,6.91,7.92,9.90,13.69,7.76,10.43,19.56,,,,,
元住吉,7.00,7.43,8.72,12.25,10.20,10.47,15.53,,,,,
日吉,6.17,6.81,7.53,10.56,6.96,9.69,16.83,,,,,
綱島,6.32,6.75,8.17,13.93,,9.36,15.96,,,17.13,,
大倉山,6.97,6.52,9.09,11.39,8.80,9.66,,,11.30,,,
妙蓮寺,5.56,6.20,,10.92,6.40,7.90,12.90,,,,,
白楽,5.42,6.25,7.71,11.45,,9.07,,,12.45,,,
東白楽,5.27,6.35,7.68,11.79,7.46,8.75,,,12.45,,,
反町,6.71,7.56,8.56,11.88,,,16.48,,,,,
池尻大橋,9.66,10.88,12.13,17.32,,12.95,35.07,,,92.77,,
三軒茶屋,9.21,9.84,11.32,17.66,,13.26,24.02,,,27.00,,
駒沢大学,9.19,8.87,10.41,17.10,,13.06,23.65,,,21.79,,
桜新町,8.82,9.02,10.87,14.16,,,22.24,,,27.56,,
用賀,7.98,8.88,10.43,14.42,,,21.19,,,29.22,,
二子玉川,6.65,8.36,9.39,16.67,,,,,,,,
二子新地,6.78,7.62,7.71,12.09,,11.55,,,,,,
高津,7.23,7.37,8.77,12.47,7.60,11.00,12.92,,,17.72,,
溝の口,7.38,7.62,9.56,12.01,,,12.59,,,17.34,,
梶が谷,6.71,6.89,7.73,12.21,,8.18,11.76,,,,,
宮崎台,6.01,6.58,7.16,9.96,,10.50,12.60,,9.03,18.45,,
宮前平,6.19,7.11,,10.30,7.33,9.36,13.77,,10.50,14.44,,
鷺沼,5.91,7.77,7.88,10.74,,8.28,13.49,,10.46,13.37,,
たまプラーザ,8.07,7.20,,13.45,,8.77,18.28,,,22.84,,
あざみ野,6.87,7.51,,9.60,,7.82,15.11,,,20.20,,
江田,6.84,6.78,6.50,9.03,,8.05,,,,15.16,,
市が尾,6.71,6.82,,9.31,,7.80,10.23,,,,,
藤が丘,6.11,6.37,,9.14,,,11.57,,9.27,10.01,,
青葉台,6.04,6.31,12.43,12.50,,8.04,13.89,,,18.11,,
田奈,5.65,5.78,,9.81,,6.46,,,,,,
つくし野,,,,,,,,,,,,
すずかけ台,5.50,6.20,,,,,,,,,,
南町田グランベリーパーク,5.41,5.26,,,,7.56,,,,,,
つきみ野,,5.23,,7.85,,7.30,,,8.60,11.22,,
中央林間,4.76,5.44,5.11,9.77,,7.08,11.50,,,11.25,,
大崎広小路,11.00,8.48,12.11,16.80,11.53,,19.81,,,,,
戸越銀座,8.67,9.39,11.23,15.06,8.56,13.82,20.90,,,,,
荏原中延,8.14,8.97,10.96,13.43,,,15.57,,16.00,,,
旗の台,7.88,8.12,9.76,13.60,10.03,11.69,,,,,,
長原,7.85,8.25,9.42,14.70,,11.59,15.33,,,18.00,,
洗足池,6.47,7.45,8.99,13.94,,11.03,17.64,,,,,
石川台,7.34,7.71,9.07,12.72,9.86,10.92,16.23,,14.04,22.65,,
雪が谷大塚,6.85,7.70,9.14,12.81,9.20,10.46,,,,,,
御嶽山,7.11,7.69,,12.72,,9.96,15.73,,,,,
久が原,6.87,7.69,,13.09,,9.90,14.94,,,,,
千鳥町,6.75,7.52,9.04,13.22,,9.57,,,,,,
池上,7.36,7.91,10.03,11.52,10.56,14.07,13.99,,,,,
蓮沼,7.32,8.61,10.98,13.79,9.25,10.30,15.31,,,17.36,,
下神明,7.46,8.49,11.25,14.87,,,22.29,,,,,
戸越公園,8.25,8.56,11.57,14.15,10.30,11.73,18.31,,,,,
中延,8.08,8.67,10.61,13.71,8.81,11.20,17.80,,,,,
荏原町,7.74,8.29,8.62,14.28,9.30,11.13,16.49,,,,,
北千束,8.49,7.93,11.05,14.17,10.40,11.35,19.35,,,30.22,,
大岡山,8.37,8.63,10.81,15.80,11.80,13.12,20.26,,,,,
緑が丘,7.86,8.58,11.72,15.26,9.00,14.63,21.67,,,29.01,,
九品仏,8.29,8.15,9.18,15.28,,,17.49,,,,,
尾山台,9.34,8.25,9.76,14.02,,11.08,20.26,,,23.30,,
等々力,9.17,7.99,9.11,13.20,,12.50,20.93,,,,,
上野毛,6.41,8.04,8.40,13.73,,,19.27,,,,,
不動前,9.48,9.50,11.77,19.18,12.57,,23.12,,,34.43,,
武蔵小山,9.18,9.14,11.59,16.09,14.62,15.24,20.75,,,27.40,,
西小山,8.67,8.69,11.05,14.20,9.99,12.05,16.58,,,,,
洗足,8.24,8.10,9.98,12.96,10.71,11.77,19.40,,,,,
奥沢,7.19,9.04,11.48,15.47,10.32,14.04,21.55,,,,,
沼部,6.95,7.68,9.91,12.30,,11.39,15.08,,,17.13,,
鵜の木,6.69,7.87,8.66,12.92,,,,,,,,
下丸子,6.82,7.89,7.96,12.31,,,,,,,,
武蔵新田,6.86,7.57,8.86,11.20,8.35,10.01,13.98,,,,,
矢口渡,6.89,7.95,9.08,12.09,,11.35,15.83,,,17.88,,
西太子堂,7.59,9.92,10.00,16.42,,12.69,23.17,,,,,
若林,6.86,8.61,9.93,13.25,,,24.78,,,33.25,,
松陰神社前,7.49,8.34,9.58,13.91,,12.96,22.43,,,,,
世田谷,7.29,8.08,9.32,13.18,,11.54,20.58,,,,,
上町,6.48,7.51,8.38,13.15,8.43,11.30,21.80,,,18.48,,
宮の坂,6.32,6.91,9.68,14.26,,,,,,,,
山下,6.25,7.45,8.20,16.82,9.52,11.08,,,,,,
松原,7.01,6.99,,13.15,,9.94,15.50,,,,,
下高井戸,6.24,7.24,9.05,14.25,9.62,10.32,19.73,,,,,
椎名町,6.88,8.13,9.84,13.21,8.50,10.97,,,,23.89,,
東長崎,6.47,7.84,8.73,12.97,,10.35,,,,23.86,,
江古田,6.81,6.97,10.51,11.31,,10.20,,,,,,
桜台,6.54,7.45,8.50,11.69,9.01,10.73,12.53,,,,,
練馬,6.73,7.60,9.51,12.32,8.90,10.91,16.25,,,,,
中村橋,6.33,7.04,8.48,11.40,7.24,13.57,,,,,,
富士見台,5.80,6.98,7.93,11.06,,9.78,13.29,,,,,
練馬高野台,6.18,6.43,9.52,10.70,,9.36,14.73,,,14.76,,
石神井公園,6.77,6.98,8.91,12.43,,8.73,15.16,,,,,
大泉学園,6.32,7.01,7.94,10.03,,,13.38,,,,,
保谷,4.89,6.21,6.60,11.93,,,12.11,,9.60,13.74,,
ひばりヶ丘,5.47,6.63,8.23,8.48,,7.66,,,,,,
東久留米,4.78,5.79,8.16,,,7.98,10.37,,,14.64,,
清瀬,4.93,5.89,,9.05,,,10.96,,,,,
秋津,5.30,5.64,,9.00,,6.35,8.05,,,,,
所沢,4.81,5.40,6.22,8.29,,6.94,11.90,,8.34,,,
西所沢,5.30,5.41,,7.76,,6.17,,,,,,
小手指,3.88,6.17,,9.30,,5.99,7.94,,,,,
狭山ヶ丘,4.37,5.16,,7.03,,5.48,7.46,,,8.44,,
武蔵藤沢,,5.02,,7.45,,5.18,7.43,,,,,
稲荷山公園,,,,,,,,,,,,
入間市,,5.06,,,,,,,,,,
仏子,,4.17,,,,,,,,,,
元加治,,4.07,,7.33,,5.32,6.72,,,,,
飯能,4.11,5.12,,,,5.30,,,,,,
西武新宿,7.46,8.71,12.76,,,,,,,,,
下落合,7.27,8.31,10.05,13.92,11.84,11.82,20.07,,,,,
中井,6.49,8.06,10.03,12.70,9.75,11.60,17.44,,,,,
新井薬師前,7.03,7.73,9.91,12.73,8.84,11.49,16.68,,,,,
沼袋,6.09,7.26,9.29,11.95,9.40,11.57,18.91,,,15.00,,
野方,6.19,7.23,8.48,11.47,,10.77,15.84,,,,,
都立家政,5.95,7.12,8.78,11.23,,10.01,14.10,,,,,
鷺ノ宮,6.17,7.28,8.89,11.28,8.32,9.70,14.21,,,,,
下井草,6.40,6.97,8.35,11.08,,9.76,13.96,,,,,
井荻,6.76,6.77,9.49,12.63,12.05,8.99,16.40,,,16.25,,
上井草,5.87,6.44,,9.25,6.60,9.21,11.93,,,,,
上石神井,6.67,7.19,8.72,9.50,8.35,9.97,10.90,,11.97,,,
武蔵関,6.68,6.55,8.63,11.06,,9.19,14.25,,,14.92,,
東伏見,5.65,6.71,9.48,9.52,6.50,7.89,,,,,,
西武柳沢,4.93,5.96,6.65,8.03,,7.67,8.68,,,,,
田無,5.51,6.24,7.71,9.15,,7.60,11.86,,,12.15,,
花小金井,5.68,5.80,,9.87,,7.16,15.99,,,14.08,,
小平,4.08,4.88,,8.98,,7.00,,,,,,
久米川,4.73,6.65,,8.95,,,15.50,,,,,
東村山,4.41,4.92,,,,7.33,,,,,,
航空公園,4.22,5.10,,7.64,,,7.85,,,,,
新所沢,4.34,5.76,,7.85,7.18,8.20,,,,,,
入曽,3.65,5.32,,7.30,,5.83,,,,,,
狭山市,3.40,4.62,,7.12,,6.88,8.71,,,,,
新狭山,3.54,5.08,6.93,,,,,,,8.25,,
南大塚,,4.76,,6.01,,,7.16,,,,,
本川越,5.30,5.30,7.08,8.37,5.95,6.81,,,,,,
萩山,3.75,4.22,,,,,9.25,,,,,
小川,4.36,6.04,,7.32,,6.77,,,,,,
東大和市,3.72,4.96,,,6.77,7.02,8.05,,,,,
玉川上水,4.04,4.36,,8.57,,6.87,,,,,,
武蔵砂川,4.99,5.21,,6.85,,6.07,7.89,,,7.43,,
西武立川,,4.80,,7.30,,,,,,8.21,,
新桜台,5.96,7.10,9.40,12.24,7.89,9.47,,,,,,
一橋学園,4.32,5.18,6.79,8.50,,6.97,8.43,,,11.17,,
青梅街道,4.45,5.28,,,,7.21,8.31,,,,,
八坂,3.79,6.46,,8.77,,7.12,,,8.23,,,
武蔵大和,,4.44,,6.30,,5.68,7.40,,,,,
多摩湖,,,,,,,,,,,,
新小金井,5.84,5.88,6.80,9.80,,8.32,,,,,,
多磨,4.85,5.82,,8.80,,7.01,,,,,,
白糸台,4.68,6.42,,8.58,7.20,7.89,9.72,,,,,
競艇場前,,5.02,,8.33,5.84,,,,,,,
是政,,5.26,,8.64,,,12.60,,,,,
恋ヶ窪,5.18,6.17,8.53,7.99,,6.90,,,,,,
鷹の台,3.93,5.40,,8.50,,,,,,,,
豊島園,6.62,6.85,8.97,15.16,,9.56,20.09,,,18.44,,
西武園ゆうえんち,,,,,,,,,,,,
西武球場前,,,,,,,,,,,,
西武園,,,,,,,,,,,,
新宿西口,11.49,9.81,,,,,,,,,,
若松河田,7.91,9.33,10.96,19.38,13.40,14.26,29.88,,,28.55,,
牛込柳町,9.68,9.47,12.51,19.32,,,28.06,,,33.61,,
牛込神楽坂,10.66,10.04,13.20,20.19,15.13,,28.87,,,50.88,,
春日,9.36,9.26,12.94,17.95,8.50,19.64,25.93,,23.20,39.42,,
上野御徒町,10.67,9.51,,16.69,,,,,,,,
新御徒町,8.93,10.12,12.33,15.61,,16.77,20.32,,,26.03,,
蔵前,9.37,9.94,12.00,16.18,10.69,17.46,20.13,,,25.92,,
森下,8.58,9.32,11.51,15.21,9.31,11.33,19.09,,,25.77,,
勝どき,12.02,10.12,14.74,18.44,12.86,15.43,26.56,,,26.50,,
築地市場,11.69,10.47,14.49,18.56,,,22.94,,,,,
汐留,14.02,12.31,,22.76,,18.33,29.51,,,,,
大門,12.21,11.39,16.60,19.55,,19.67,31.58,,,29.61,,
赤羽橋,11.78,11.58,14.49,23.59,11.76,16.41,39.55,,,88.75,,
国立競技場,11.83,12.57,14.25,23.97,,,29.96,,,,,
都庁前,9.39,10.02,11.79,22.91,,,29.84,,,,,
西新宿五丁目,8.73,9.15,11.84,16.47,8.55,13.10,23.84,,,29.69,,
落合南長崎,6.83,7.82,8.99,12.85,9.22,10.63,13.70,,,,,
新江古田,6.90,7.33,9.69,14.77,8.81,10.98,15.68,,,21.27,,
練馬春日町,6.52,7.46,10.09,12.19,,9.32,14.17,,,,,
光が丘,6.96,6.59,,10.36,,,,,,,,
三田,10.77,10.48,14.22,19.96,,15.27,32.61,,,43.80,,
芝公園,12.30,10.48,13.81,20.07,,,30.85,,,,,
御成門,11.99,10.97,16.59,21.68,,,34.25,,,,,
内幸町,12.35,10.84,12.12,,,,,,,,,
白山,8.61,8.45,12.65,15.76,8.87,12.05,23.03,,,35.20,,
千石,8.38,8.92,10.36,15.67,10.01,13.07,20.29,15.93,,,,
西巣鴨,6.97,7.97,9.28,12.72,8.98,12.20,18.15,,,,,
新板橋,6.30,8.56,9.30,12.71,9.23,9.93,21.22,,,,13.50,
板橋区役所前,7.10,7.89,9.28,12.94,8.27,10.55,14.08,,,18.59,,
板橋本町,6.48,7.62,9.08,11.35,8.52,10.99,15.91,,,23.17,,
本蓮沼,6.35,7.10,10.13,12.61,9.12,10.45,16.62,,11.17,18.83,,
志村坂上,6.44,7.01,9.96,12.24,8.18,8.28,16.25,,,16.91,,
志村三丁目,5.70,7.03,8.30,9.81,7.11,8.37,11.58,,,15.08,,
蓮根,6.33,7.24,8.72,10.81,6.78,8.32,14.56,,,13.93,,
西台,6.46,7.27,7.82,11.20,6.91,7.71,13.48,,,13.88,,
高島平,6.87,7.20,8.07,9.74,7.24,8.67,,,9.66,,,
新高島平,4.98,6.89,7.93,10.91,6.62,8.90,9.82,,9.66,,,
西高島平,6.29,7.17,8.37,,,7.32,,,,10.39,,
曙橋,9.00,10.01,13.27,18.93,,,27.33,,,,,
市ヶ谷,9.60,10.04,14.63,19.08,13.74,,31.06,,,57.83,,
岩本町,10.29,10.31,14.27,17.04,,19.53,24.13,,,,,
馬喰横山,10.06,10.08,15.04,17.17,,17.44,22.79,,17.50,,,
浜町,10.67,9.94,12.30,17.74,,16.30,24.74,,,,,
菊川,8.52,9.18,11.78,14.50,10.91,12.93,18.84,,,,,
西大島,7.89,8.43,10.01,11.64,9.89,11.24,16.37,,,16.01,,
大島,7.37,8.87,8.64,11.87,8.82,9.67,14.18,,,16.82,,
東大島,6.32,8.90,,10.05,8.58,,,,,,,13.90
船堀,6.24,7.58,,11.11,,8.69,12.23,,,,,
一之江,6.23,6.70,7.34,12.31,,8.44,14.01,,,,,
瑞江,6.65,6.49,7.23,10.84,,8.78,11.91,,,12.79,,
篠崎,6.06,6.62,7.57,10.41,,8.33,11.77,,10.70,,,
西馬込,8.20,8.06,10.22,13.41,,12.14,18.29,,,20.78,,
馬込,7.81,7.97,10.22,13.60,12.11,11.18,14.49,,,,,
戸越,8.74,9.41,11.63,14.98,9.83,13.81,21.05,,,,,
高輪台,10.15,9.70,13.54,17.88,18.72,,29.68,,,41.39,,
泉岳寺,12.48,10.78,15.04,20.67,,,26.88,,,,,
宝町,9.57,10.02,14.54,17.93,,,26.55,,,,,
東日本橋,8.81,10.25,12.21,16.90,,18.83,24.44,,,,,
本所吾妻橋,9.15,9.62,10.39,16.02,,11.56,17.58,,,20.60,,
三ノ輪橋,7.71,8.02,9.03,13.67,,10.03,14.96,,,,,
荒川一中前,6.29,7.74,7.88,12.98,,,,,,,,
荒川区役所前,,7.93,7.74,12.99,,,14.60,,,,,
荒川二丁目,,7.67,,,,,,,,,,
荒川七丁目,5.92,7.89,,,,,,,,,,
町屋駅前,6.33,7.34,,10.42,,,,,,,,
町屋二丁目,6.19,7.03,,,,,,,,,,
東尾久三丁目,6.17,6.78,7.61,,,,,,,,,
