station,1R,1K,1DK,1LDK,2K,2DK,2LDK,3K,3DK,3LDK,4K,4DK
熊野前,5.92,7.03,7.82,12.69,,8.97,14.20,,11.80,,,
宮ノ前,6.26,6.99,,10.58,6.38,,,,,,,
小台,5.98,6.72,7.50,10.33,7.65,8.87,,,,,,
荒川遊園地前,5.14,7.30,,11.23,,9.00,,,,,,
荒川車庫前,6.24,7.14,,10.20,,,,,,,,
梶原,6.11,6.31,,,,,,,,,,
栄町,6.60,6.65,,10.41,,,,,,,,
王子駅前,6.86,8.32,,,,,,,,,,
飛鳥山,7.32,8.41,7.23,,,,,,,,,
滝野川一丁目,5.94,7.20,,13.07,,,,,,,,
西ヶ原四丁目,6.68,8.06,,12.61,,,,,,,,
新庚申塚,6.70,7.58,,,,,,,,,,
庚申塚,7.22,9.08,11.57,11.80,,,,,,,,
巣鴨新田,7.35,8.08,9.35,13.77,,10.08,19.61,,,,,
大塚駅前,7.46,8.65,9.66,13.81,,11.53,,,,,,
向原,6.89,8.28,11.79,15.55,9.85,10.78,,,,,,
東池袋四丁目,,8.95,,,,,,,,,,
都電雑司ヶ谷,6.44,8.53,,,,,,,,,,
鬼子母神前,,8.32,,,,,,,,,,
学習院下,7.59,9.55,,,,,,,,,,
面影橋,7.65,7.91,,14.69,,,,,,,,
赤土小学校前,6.99,8.73,8.70,11.80,8.15,10.38,15.43,,,,,
足立小台,4.95,7.15,,,,8.87,,,,,,
扇大橋,6.85,6.53,,10.46,,8.26,9.74,,,,,
高野,7.59,6.11,7.50,10.02,,7.89,12.91,,,,,
江北,6.23,6.79,8.16,9.13,,7.03,12.90,,,,,
西新井大師西,5.75,6.74,7.64,9.43,,7.90,,,,,,
谷在家,5.35,6.58,7.97,9.07,,7.38,,,,,,
舎人公園,5.97,6.40,8.30,8.49,,,9.98,,,,,
舎人,6.73,6.31,,8.40,7.79,8.33,9.37,,,,,
見沼代親水公園,5.51,5.83,,8.38,7.90,9.22,,,,11.66,,
初台,8.87,9.67,13.35,17.65,12.48,15.88,28.41,,,,,
幡ヶ谷,8.74,8.78,13.07,15.36,,,18.65,,,,,
笹塚,8.45,8.86,12.69,16.27,8.77,12.32,21.73,,,33.18,,
代田橋,7.14,8.55,10.81,14.62,10.68,10.66,17.63,,,,,
明大前,7.02,7.80,10.14,14.68,9.83,9.87,22.91,,,27.82,,
桜上水,6.67,7.63,9.51,13.66,,11.00,,,,,,
上北沢,6.68,7.78,9.13,12.81,,11.65,,,,,,
八幡山,6.45,7.35,9.12,11.89,9.04,10.37,16.27,,,,,
芦花公園,5.96,7.47,10.31,12.95,,10.71,15.76,,,,,
千歳烏山,7.15,7.70,10.24,12.36,8.69,10.01,17.62,,,,,
仙川,7.53,7.04,9.74,11.91,9.80,10.17,14.83,,,18.50,,
つつじヶ丘,6.61,6.77,8.43,11.32,,10.68,13.82,,,16.73,,
柴崎,5.66,6.43,8.10,10.68,,9.60,12.20,,,17.48,,
国領,5.51,6.51,,10.74,,9.34,14.88,,8.16,,,
布田,5.88,6.60,6.38,10.68,7.85,9.25,15.48,,11.58,13.29,,
調布,6.31,6.87,7.68,13.80,8.38,9.97,,,,17.75,,
西調布,5.26,5.99,5.84,10.09,,7.44,,,,11.87,,
飛田給,6.22,6.06,6.44,,6.95,8.03,11.58,,,16.67,,
武蔵野台,5.04,5.84,7.50,8.87,7.28,7.89,10.24,,8.50,,,
多磨霊園,4.48,5.93,,9.31,,8.51,10.39,,,,,
東府中,4.23,6.23,6.43,10.03,,7.85,10.56,,,,,
府中,6.39,7.05,6.83,10.92,,9.06,12.27,,,14.56,,
中河原,5.65,5.94,,8.89,,7.57,,,,,,
聖蹟桜ヶ丘,5.50,6.16,,9.44,,,12.53,,,16.92,,
百草園,3.76,4.54,,8.15,,6.39,,,,,,
高幡不動,4.34,5.00,6.28,8.62,,7.12,,,8.33,9.26,,
南平,6.23,4.98,4.71,7.70,6.45,,8.01,,8.57,10.31,,
平山城址公園,3.80,4.73,,7.61,,6.70,8.85,,,,,
長沼,3.53,4.31,7.10,7.50,,,8.39,,10.78,9.49,,
北野,4.38,5.13,,7.61,6.69,,10.70,,7.57,10.95,,
京王八王子,4.63,6.21,7.54,10.94,6.27,7.16,12.06,,7.97,,,
神泉,10.78,12.23,13.97,20.74,,,31.21,,,86.90,,
駒場東大前,9.13,9.46,12.93,19.80,,,30.24,,,,,
池ノ上,8.14,8.22,9.99,15.42,10.36,,23.93,,,29.33,,
下北沢,9.87,8.70,9.88,19.59,10.10,,26.87,,,41.99,,
新代田,8.63,8.08,7.15,20.84,9.21,,28.62,,,,,
東松原,7.14,7.44,9.42,13.80,,12.49,,,,,,
永福町,6.72,7.61,10.07,13.05,8.67,11.68,18.86,,,19.98,,
西永福,6.91,7.34,9.40,12.90,6.65,11.16,19.50,,14.30,22.33,,
浜田山,6.46,7.58,9.17,14.22,,,17.79,,,24.55,,
高井戸,6.75,7.51,8.48,11.99,,,15.75,,,,,
富士見ヶ丘,6.17,7.14,,11.94,,9.91,,,,,,
久我山,6.48,7.15,10.05,12.56,,11.51,16.16,,,19.50,,
三鷹台,5.90,6.58,6.66,11.43,7.80,11.14,13.72,,,19.80,,
井の頭公園,6.44,7.00,9.23,14.44,9.20,,17.88,,,,,
京王多摩川,5.34,6.28,7.45,10.28,7.89,7.85,11.85,,,,,
京王稲田堤,4.84,5.67,5.71,8.48,6.91,7.47,9.83,,9.52,,,
京王よみうりランド,3.96,5.10,6.55,8.08,,,9.74,,,,,
稲城,4.11,5.30,,9.29,,7.22,12.96,,,9.74,,
若葉台,,5.73,,11.85,,,13.11,,,,,
京王永山,5.68,5.26,,9.26,,6.85,11.95,,,,,
京王多摩センター,5.89,6.56,,,,,,,,14.67,,
京王堀之内,4.58,4.66,,9.28,,,,,,8.85,,
南大沢,4.15,4.69,6.42,9.03,,,8.30,,,12.66,,
多摩境,5.83,5.16,,8.12,,,,,6.67,,,
京王片倉,3.97,4.60,4.67,7.70,5.76,6.29,8.96,,7.98,,,
山田,3.97,3.99,,6.65,,,,,7.80,,,
めじろ台,4.38,5.48,,,,7.33,,,,,,
狭間,4.07,4.40,3.81,,,6.54,,,7.38,10.06,,
高尾山口,,,,,,,,,,,,
多摩動物公園,2.69,4.30,,,3.60,,,,,,,
府中競馬正門前,6.18,6.72,,11.40,,8.37,,,,,,
京成上野,6.84,,,16.68,,,,,,,,
新三河島,6.83,7.72,8.69,12.69,7.21,10.31,15.40,,,19.68,,
京成町屋,6.18,7.24,7.80,12.00,8.71,10.46,,,,,,
千住大橋,6.31,7.63,8.41,11.87,7.72,8.41,12.60,,,,,
京成関屋,6.26,7.24,8.15,10.94,6.73,8.71,13.16,,,,,
堀切菖蒲園,5.89,6.24,7.29,9.34,6.64,7.63,10.02,,12.00,,,
お花茶屋,6.28,7.14,,,,8.14,11.10,,,13.03,,
青砥,7.17,7.29,7.71,10.19,7.25,9.53,12.94,,,,,
京成高砂,5.96,6.72,7.18,9.19,5.82,7.98,10.39,,10.54,,,
京成小岩,5.89,6.52,7.04,8.76,6.82,8.48,11.52,,10.66,,,
江戸川,5.93,6.12,6.02,8.84,,8.84,,,,15.00,,
国府台,6.50,6.04,5.84,7.81,6.54,7.45,16.20,,13.00,21.64,,
市川真間,6.32,6.41,7.04,9.62,7.06,8.34,11.55,,,,,
菅野,4.83,5.13,7.18,8.76,6.24,6.30,,,,,,
京成八幡,6.36,6.72,7.89,9.64,7.12,8.57,10.98,,9.55,,,
鬼越,5.65,5.90,6.47,9.59,6.41,7.36,10.17,,,,,
京成中山,5.17,6.49,7.87,9.43,5.58,6.70,,,,12.63,,
東中山,4.75,6.07,7.43,8.27,,6.69,11.13,,,13.20,,
京成西船,6.42,6.49,7.78,9.59,7.22,8.93,,,8.24,,,
海神,7.02,6.09,,8.08,5.72,6.15,9.72,,,10.98,,
京成船橋,6.18,6.63,7.05,11.58,5.82,8.11,12.88,6.77,,16.87,,
大神宮下,5.42,5.85,6.92,9.01,7.25,7.26,,,,,,
船橋競馬場,5.14,6.14,,8.79,5.45,,8.82,,,,,
谷津,5.75,5.54,,8.31,5.59,,,,8.50,10.71,,
京成津田沼,5.94,5.69,6.57,9.92,,7.03,10.90,,,12.15,,
京成大久保,4.52,4.80,5.85,8.30,,6.78,8.48,,,,,
実籾,4.77,4.46,,7.80,,,,,,,,
八千代台,4.59,6.10,4.63,6.36,,,6.87,,,,,
京成大和田,5.19,4.06,4.60,6.37,,4.95,6.77,,5.87,,,
勝田台,,5.15,4.45,7.21,5.08,,7.56,,6.05,,,
志津,3.17,4.17,,6.88,,5.12,6.85,,6.23,8.54,,
ユーカリが丘,4.08,3.83,,6.83,,,,,,,,
京成臼井,,4.84,,6.54,,,,,6.40,,,
京成佐倉,,5.05,,7.43,,,6.13,,,,,
大佐倉,,,,,,,,,,,,
京成酒々井,,5.12,,,,5.53,,,,,,
宗吾参道,5.90,5.31,,6.05,,4.60,,,,,,
公津の杜,,6.26,6.90,7.44,,6.48,8.38,,,,,
京成成田,12.91,6.12,,6.88,,6.01,,,,,,
東成田,,,,,,,,,,,,
空港第２ビル,,,,,,,,,,,,
成田空港,,,,,,,,,,,,
京成曳舟,6.97,7.67,8.88,12.26,,9.35,18.64,,,,,
八広,6.85,7.70,9.06,12.45,,8.94,,,,,,
四ツ木,6.01,6.88,8.50,9.92,6.77,10.18,10.24,,,14.15,,
京成立石,5.85,6.91,7.44,8.76,6.54,8.61,11.39,,,,,
柴又,5.43,6.10,7.14,8.74,,7.60,10.36,,,,,
京成金町,5.26,6.13,6.49,9.98,6.17,7.76,10.30,,,13.54,,
新鎌ヶ谷,6.27,6.02,,7.93,,6.27,10.04,,,6.00,,
千葉ニュータウン中央,,,,,,,,,,,,
印旛日本医大,,,,,,,,,,,,
成田湯川,,,,,,,,,,,,
北池袋,7.25,8.43,10.33,14.94,8.59,8.69,17.74,,,,,
下板橋,7.72,8.19,9.92,13.00,8.82,9.94,,,,,,
大山,7.00,7.75,8.43,11.41,8.91,9.59,15.20,,,18.43,,
中板橋,7.26,7.47,8.99,10.65,7.41,9.45,12.18,,,,,
ときわ台,7.30,7.44,8.64,11.74,8.72,9.11,,,,,,
上板橋,6.44,7.26,9.58,10.38,8.69,9.12,12.83,,11.55,,,
東武練馬,7.00,7.52,8.55,11.41,,,,,,,,
下赤塚,6.84,7.44,7.58,12.84,8.38,8.66,13.14,,11.20,,,
成増,6.57,6.89,7.92,11.15,7.10,9.37,12.02,,10.99,14.24,,
朝霞,5.88,5.86,5.86,9.37,,7.93,13.74,,,16.97,,
朝霞台,4.67,6.04,,9.50,6.60,7.89,10.35,,,11.03,,
志木,5.05,5.57,8.03,10.25,,,11.82,,,13.10,,
柳瀬川,,4.71,,8.06,,,,,,8.20,,
みずほ台,5.43,5.34,5.56,7.61,,6.98,8.48,,,,,
鶴瀬,4.38,5.34,,8.03,,7.68,,,,9.14,,
ふじみ野,5.44,6.46,6.84,8.62,,7.89,9.64,,,11.59,,
上福岡,3.63,5.07,,,,8.01,10.81,,,,,
新河岸,5.15,4.51,,6.58,,5.25,7.01,,,,,
川越市,5.21,5.29,,8.76,,6.46,8.91,,,,,
東武霞ヶ関,3.88,4.38,5.44,6.35,,,,,,,,
鶴ヶ島,3.91,4.49,,6.31,,5.37,6.39,,,8.49,,
若葉,,5.07,,,,,9.35,,6.58,9.60,,
坂戸,4.63,4.28,,,,,,,6.46,,,
北坂戸,4.52,4.45,,6.20,,,,,,,,
高坂,3.42,4.18,,,,,,,,,,
東松山,4.53,4.80,,6.71,,,,,,7.10,,
森林公園,,4.66,,,,,,,,,,
つきのわ,,4.96,,,,,,,,,,
武蔵嵐山,4.81,,,,,4.59,,,,,,
東武竹沢,,,,,,,,,,,,
みなみ寄居,,,,,,,,,,,,
男衾,,,,,,,,,,,,
鉢形,,,,,,,,,,,,
玉淀,,,,,,,,,,,,
とうきょうスカイツリー,9.26,9.60,10.23,16.15,9.93,13.76,17.31,,,,,
曳舟,7.43,8.19,9.05,14.33,8.71,9.45,16.73,,,13.70,,
東向島,7.23,7.78,8.61,12.09,,10.13,16.51,,,,,
鐘ヶ淵,6.29,7.27,9.20,9.55,,9.54,,,,,,
堀切,6.50,7.48,,9.67,,,,,,,,
牛田,6.44,7.18,8.06,12.16,,8.43,14.50,,,,,
小菅,5.78,6.13,7.87,10.32,6.69,7.32,,,,13.06,,
五反野,5.86,6.51,7.07,10.94,,7.62,9.95,,9.28,,,
梅島,5.90,6.38,8.03,9.35,,11.76,,,,,,
西新井,6.48,6.43,7.59,10.19,,8.00,11.69,,,17.39,,
竹ノ塚,5.49,6.03,7.14,8.75,,8.05,10.33,,,,,
谷塚,5.55,5.64,5.71,,,,,,,,,
草加,6.07,5.84,7.59,9.43,,7.69,10.10,,,,,
獨協大学前,4.41,5.14,6.81,9.17,,8.59,13.28,,,10.53,,
新田,,5.13,,7.19,,6.63,8.32,,,,,
蒲生,5.83,5.54,,,,5.63,,,,,,
新越谷,6.24,5.63,,,,,,,,,,
越谷,6.52,6.58,6.37,7.52,7.50,6.50,,,,,,
北越谷,4.97,4.69,,7.46,,,,,,,,
大袋,,5.36,,7.54,,5.76,7.58,,6.70,,,
せんげん台,,5.59,,8.71,6.25,,,,5.99,,,
武里,,4.31,,7.05,,,,,,,,
一ノ割,4.16,4.27,,6.52,,5.18,6.65,,,,,
春日部,5.32,5.62,5.24,7.18,,5.63,,,,,,
北春日部,4.98,4.52,5.58,6.78,,5.77,8.50,,,,,
姫宮,,5.04,,,,,,,,,,
東武動物公園,2.67,3.53,,5.24,,4.62,6.67,,,,,
和戸,,,,,,,,,,,,
鷲宮,,4.58,,5.95,,4.82,,,,,,
花崎,,4.33,,5.85,,,,,,,,
加須,,4.30,,,,,6.59,,,,,
南羽生,,3.79,,,,5.45,,,,,,
羽生,,5.22,,5.81,,,,,,,,
大師前,6.28,6.47,6.74,9.90,5.97,7.22,8.86,,,,,
小村井,7.07,7.63,8.39,12.36,7.32,11.66,16.13,,,,,
東あずま,6.21,7.26,7.64,11.02,6.90,10.29,,,,15.23,,
亀戸水神,6.80,7.96,9.37,12.73,7.44,9.20,16.50,,,,,
北品川,9.19,9.75,,17.36,,,31.23,,,32.10,,
新馬場,7.74,8.98,10.95,16.18,,,21.39,,,24.82,,
青物横丁,8.19,9.43,11.01,16.20,,12.77,20.94,,,,,
鮫洲,8.42,10.08,13.67,15.82,,12.85,20.59,,,,,
立会川,8.08,9.01,10.97,15.33,,14.55,17.64,,,,,
大森海岸,8.09,8.65,9.28,14.62,10.43,12.83,16.28,,,,,
平和島,6.79,7.41,8.87,12.14,10.08,11.17,14.71,,,20.82,,
大森町,6.98,8.10,9.35,12.08,10.25,10.24,14.56,,,,,
梅屋敷,7.09,7.97,10.55,12.14,,12.84,14.09,,14.13,,,
京急蒲田,7.86,8.24,10.27,13.12,9.46,14.19,15.56,,14.12,19.13,,
雑色,6.80,7.75,8.55,11.68,,,,,,,,
六郷土手,6.42,7.73,8.23,11.26,,,,,,,,
京急川崎,6.91,7.54,9.96,12.70,,,,,,,,
鶴見市場,5.87,6.95,,10.77,,8.57,12.23,,,,,
京急鶴見,6.25,7.48,8.79,10.35,7.38,9.63,13.98,,10.94,17.11,,
花月総持寺,5.47,6.69,8.04,10.88,7.96,,10.87,,,,,
生麦,5.79,6.72,7.43,9.90,7.86,,,,11.11,,,
京急新子安,4.82,6.89,,10.48,,,16.43,,,,,
子安,5.67,6.76,8.24,,7.67,9.66,,,,,,
神奈川新町,5.70,7.32,,10.10,,,,,,,,
京急東神奈川,7.51,8.32,10.81,,,,13.85,,,,,
神奈川,7.23,7.99,11.29,14.48,,9.00,22.20,,,26.14,,
戸部,5.93,6.93,8.84,11.13,,,12.30,,,21.65,,
日ノ出町,6.23,8.07,9.66,10.69,,8.92,,,,,,
黄金町,6.20,6.87,8.14,,9.03,9.10,12.97,,,12.17,,
南太田,5.32,6.52,7.31,8.70,7.26,,,,,,,
井土ヶ谷,5.56,6.66,,9.86,,,11.07,,,,,
弘明寺,4.90,5.85,6.33,9.77,,,,,,,,
上大岡,5.80,6.35,6.56,9.43,8.13,8.18,,,,,,
屏風浦,5.13,5.53,,,6.72,,,,,,,
杉田,5.86,6.26,,9.42,,7.90,,,,,,
京急富岡,5.34,5.55,,,,,,,,,,
能見台,4.49,5.14,,,,,,,,,,
金沢文庫,5.58,6.01,,,,,,,,,,
金沢八景,6.00,5.96,,,,,,,,,,
追浜,5.05,5.68,,,,,,,,,,
京急田浦,4.84,4.71,,,,6.23,,,,,,
安針塚,4.65,4.90,,,,,,,,,,
逸見,,,,,,,,,,,,
汐入,4.75,5.09,,,,,,,,,,
横須賀中央,5.46,6.37,,,,,,,,,,
県立大学,5.96,5.78,,,,,,,,,,
堀ノ内,5.20,5.54,,,,,,,,,,
京急大津,5.51,7.06,,,,,,,,,,
馬堀海岸,,4.43,,,,,,,,,,
浦賀,3.48,4.18,,,,,,,,,,
糀谷,7.50,8.05,8.53,12.65,,11.58,16.56,,,,,
大鳥居,7.60,7.79,8.19,12.46,10.07,12.77,16.59,,,,,
穴守稲荷,6.82,7.60,,12.69,8.43,11.28,17.60,,,,,
天空橋,6.77,7.76,,10.55,8.64,,,,,,,
羽田空港第３ターミナル,,,,,,,,,,,,
羽田空港第１・第２ターミナル,,,,,,,,,,,,
南新宿,11.35,11.28,,21.74,,,32.79,,,,,
参宮橋,8.77,9.93,12.45,20.51,,18.06,42.47,,,,,
代々木八幡,10.65,9.41,10.61,20.67,,,29.57,,,46.13,,
東北沢,8.23,8.75,12.31,15.58,,13.41,19.57,,,38.63,,
世田谷代田,9.09,8.55,,15.72,9.57,,,,,,,
梅ヶ丘,7.16,7.43,7.91,13.16,,10.81,,,,,,
豪徳寺,7.02,7.52,9.20,17.58,9.85,10.97,20.15,,,,,
経堂,7.51,8.19,11.00,15.27,,13.39,,,,22.88,,
千歳船橋,7.08,7.38,9.93,13.00,12.00,,19.49,,,25.75,,
祖師ヶ谷大蔵,7.31,7.37,9.99,13.57,,12.22,18.56,,,23.68,,
成城学園前,7.51,7.04,10.31,15.35,,12.64,24.99,,,23.25,,
喜多見,5.50,6.58,,10.08,,9.34,13.51,,,,,
狛江,5.55,6.12,7.28,9.94,,8.66,,,,15.73,,
和泉多摩川,6.74,5.97,7.64,9.58,,8.23,,,,,,
向ヶ丘遊園,5.64,6.36,7.72,14.60,12.67,9.28,11.97,,,,,
生田,5.34,5.79,,,5.58,6.46,,,,,,
読売ランド前,4.57,5.13,,9.13,,6.25,,,,,,
百合ヶ丘,5.04,5.46,6.87,9.15,,8.94,11.85,,8.68,,,
新百合ヶ丘,5.92,6.43,,10.99,,9.05,,,,,,
柿生,5.06,5.32,,8.78,,7.56,12.44,,7.57,,,
鶴川,4.88,5.01,,8.71,,8.27,,,,,,
玉川学園前,4.79,5.52,,7.74,,,,,,,,
相模大野,6.03,5.52,,9.47,7.10,7.98,10.55,,9.29,15.63,,
小田急相模原,4.31,5.05,,8.66,,6.78,9.50,,8.01,9.33,,
相武台前,5.22,5.16,,8.00,,6.97,7.56,,7.17,15.13,,
座間,4.54,4.85,6.30,,,5.24,,,,,,
海老名,5.60,6.82,7.56,10.07,,9.01,7.29,,,16.76,,
厚木,4.77,5.24,6.06,7.80,,6.39,,,7.54,,,
本厚木,6.23,6.17,,9.03,,,9.58,,7.77,11.11,,
愛甲石田,5.21,5.73,,8.04,,6.10,8.24,,6.88,6.92,,
伊勢原,5.15,4.78,5.81,,,,8.08,,6.97,,,
鶴巻温泉,3.66,4.75,5.10,7.09,,5.60,7.25,,,,,
東海大学前,4.62,4.60,4.81,6.66,,5.85,,,6.66,,,
秦野,5.19,4.75,5.87,6.95,,5.77,8.11,,,,,
渋沢,,5.24,5.31,6.68,,,,,5.27,,,
新松田,,4.13,,,,,,,5.70,,,
開成,,4.36,,,,5.08,6.20,,,,,
栢山,,4.76,,6.16,,4.84,6.41,,,,,
富水,4.10,4.37,,,,4.78,6.51,,5.40,7.54,,
螢田,,5.05,5.08,5.81,,5.04,5.83,,5.70,,,
足柄,,4.33,,6.06,,5.45,5.78,,5.62,,,
五月台,,4.16,,8.72,,8.08,,,8.20,,,
栗平,,4.95,,,,,,,,,,
黒川,,4.49,,6.90,,,10.85,,7.85,8.77,,
はるひ野,,6.15,,10.04,,,,,,,,
小田急永山,4.51,4.07,,,,6.78,11.18,,8.46,9.42,,
小田急多摩センター,5.35,5.45,,,,,9.30,,,14.67,,
唐木田,4.63,4.76,,,5.20,,,,,,,
多摩センター,,4.84,,,,,,,,,,
松が谷,,4.17,,,,,,,,,,
大塚・帝京大学,5.61,5.23,,,,,9.06,,,,,
中央大学・明星大学,5.83,5.50,,,,,,,8.70,,,
程久保,3.80,4.37,5.85,8.52,,5.53,6.20,,7.30,,,
万願寺,5.89,4.94,,8.13,,7.68,9.97,,,9.27,,
甲州街道,6.09,5.35,6.60,8.41,,8.08,10.67,,,,,
柴崎体育館,5.62,6.72,5.61,10.98,9.03,8.01,,,,,,
立川南,5.32,6.74,,12.50,7.33,8.84,12.48,,,19.58,,
立川北,5.40,7.08,,12.63,,7.84,,,,,,
高松,4.44,5.73,,11.08,,7.52,,,,,,
立飛,4.28,4.11,,,,,,,,,,
泉体育館,4.32,4.88,,8.76,,7.41,,,,,,
砂川七番,4.47,4.39,,8.28,,6.96,9.48,,,8.24,,
桜街道,,5.39,,,,6.88,7.97,,,,,
上北台,5.08,5.31,,7.64,,7.19,7.80,,6.90,,,
新柴又,5.33,6.27,,9.70,6.23,7.39,12.08,,10.07,13.64,,
矢切,5.29,5.22,5.80,,,,8.40,,7.27,,,
北国分,6.82,5.93,,,,,,,,,,
秋山,,5.10,,6.93,,,9.00,,,,,
松飛台,,4.64,,8.01,,,7.16,,,,,
大町,,,,,,,,,,,,
西白井,,5.39,,,,,7.90,,,,,
白井,,,,,,,,,,,,
小室,,,,,,,,,,,,
印西牧の原,,,,,,,,,,,,
東雲,14.46,9.15,,16.46,,,16.72,,,,,
国際展示場,,,,,,,,,,27.60,,
東京テレポート,,,,16.98,,,28.70,,,,,
天王洲アイル,9.11,9.54,,18.07,,,26.89,,,,,
品川シーサイド,9.54,11.09,12.35,17.82,,,22.13,,,26.36,,
大井競馬場前,,7.53,,,,,,,,,,
流通センター,,,,,,,,,,,,
昭和島,,6.99,,11.67,,,,,,,,
整備場,,,,,,,,,,,,
新整備場,,,,,,,,,,,,
羽田空港第１ターミナル,,,,,,,,,,,,
羽田空港第２ターミナル,,,,,,,,,,,,
竹芝,,13.50,,24.19,,,,,,,,
日の出,12.10,10.93,,20.90,,,21.95,,,,,
芝浦ふ頭,10.67,10.55,,18.78,,,21.23,,,53.17,,
お台場海浜公園,,,,16.94,,,24.03,,,,,
台場,,,,,,,,,,,,
東京国際クルーズターミナル,,,,,,,,,,,,
テレコムセンター,,,,,,,,,,,,
青海,,,,,,,,,,,,
東京ビッグサイト,,,,,,,,,,,,
有明,,,,,,,,,,,,
有明テニスの森,,,,17.10,,,,,,27.00,,
市場前,,,,,,,,,,,,
新豊洲,,11.33,15.59,17.96,,,24.48,,,,,
川口元郷,5.49,6.46,7.51,9.13,6.14,8.33,,,,,,
南鳩ヶ谷,6.28,5.84,,8.01,,6.96,9.51,,,,,
鳩ヶ谷,6.04,5.95,5.53,7.47,6.90,,,,,,,
新井宿,,5.19,,,,,,,,,,
戸塚安行,5.87,6.10,6.70,7.47,,6.40,,,7.20,8.20,,
浦和美園,,6.32,,9.49,,,14.04,,,,,
青井,5.40,6.27,6.56,9.76,6.42,7.11,14.14,,8.20,,,
六町,5.72,6.98,7.30,11.31,,8.63,11.66,,,15.70,,
八潮,6.17,7.00,7.66,8.53,7.86,,10.96,,,,,
三郷中央,6.57,6.72,7.32,8.75,,,,,,,,
流山セントラルパーク,7.63,6.67,,8.23,,,,,,14.95,,
流山おおたかの森,8.01,7.94,,11.06,,,13.65,,,16.36,,
柏の葉キャンパス,8.29,8.07,9.36,11.14,,,20.57,,,22.07,,
柏たなか,7.70,7.12,,9.20,,,12.66,,,,,
